timestamp,source,institution,endpoint,records_returned,http_status,outcome,error,note
2026-07-26T22:34:18+00:00,openaire,Tallinn University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2021,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:19+00:00,openaire,Tallinn University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2022,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:20+00:00,openaire,Tallinn University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2023,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:21+00:00,openaire,Tallinn University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2024,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:22+00:00,openaire,Tallinn University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2025,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:23+00:00,openaire,Tallinn University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Tallinn University of Technology year=2026,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:24+00:00,oai-pmh,Tallinn University of Technology,https://digikogu.taltech.ee/oai/request?verb=Identify,,,failed,egress_blocked: egress proxy denied CONNECT to digikogu.taltech.ee (organization network policy); host must be allowlisted,
2026-07-26T22:34:24+00:00,oai-pmh,Tallinn University of Technology,https://digikogu.taltech.ee,,,failed,no OAI-PMH endpoint discovered (all candidate paths failed),
2026-07-26T22:34:24+00:00,openaire,Silesian University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2021,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:25+00:00,openaire,Silesian University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2022,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:26+00:00,openaire,Silesian University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2023,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:27+00:00,openaire,Silesian University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2024,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:28+00:00,openaire,Silesian University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2025,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:29+00:00,openaire,Silesian University of Technology,https://api.openaire.eu/graph/v2/researchProducts org=Silesian University of Technology year=2026,,,failed,egress_blocked: egress proxy denied CONNECT to api.openaire.eu (organization network policy); host must be allowlisted,
2026-07-26T22:34:30+00:00,oai-pmh,Silesian University of Technology,https://delibra.bg.polsl.pl/oai/request?verb=Identify,,,failed,egress_blocked: egress proxy denied CONNECT to delibra.bg.polsl.pl (organization network policy); host must be allowlisted,
2026-07-26T22:34:30+00:00,oai-pmh,Silesian University of Technology,https://delibra.bg.polsl.pl,,,failed,no OAI-PMH endpoint discovered (all candidate paths failed),
2026-07-26T22:34:32+00:00,yok,Istanbul Technical University,https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp uni=İSTANBUL TEKNİK ÜNİVERSİTESİ year=2021,,,failed,"Error: Page.goto: net::ERR_TUNNEL_CONNECTION_FAILED at https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp
Call log:
  - navigating to ""https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp"", waiting until ""domcontentloaded""
",
2026-07-26T22:34:32+00:00,yok,Istanbul Technical University,https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp uni=İSTANBUL TEKNİK ÜNİVERSİTESİ year=2022,,,failed,"Error: Page.goto: net::ERR_TUNNEL_CONNECTION_FAILED at https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp
Call log:
  - navigating to ""https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp"", waiting until ""domcontentloaded""
",
2026-07-26T22:34:32+00:00,yok,Istanbul Technical University,https://tez.yok.gov.tr/UlusalTezMerkezi/tarama.jsp,,,failed,aborting remaining years after 2 consecutive failures (host unreachable or site structure changed),
