id,url,source_id,country,title,page_url,doc_types,mw_values,mw_bucket,relevance,local_path,size_bytes,fetched_at
14,https://ytietopalvelu.lvv.fi/api/v1/documents/attachment/1400224,fi_ylupa,FI,"Päätös 212/2014/1, www-versio — Päätös ympäristönsuojelulain mukaisesta hakemuksesta, joka koskee Vatajankosken Sähkö Oy:n Kirkkokallion biokaasumoottor",https://ytietopalvelu.lvv.fi/fi-FI/asia/851118,permit,"3.5,3,50,50,50,15,5,5,50,50,50",<=50 MW,1,/home/user/lennuk/data/FI/fi_ylupa/851118_1400224_P_t_s_212_2014_1_www-versio.pdf,277217,2026-09-07 19:45:10
17,https://ytietopalvelu.lvv.fi/api/v1/documents/attachment/1973487,fi_ylupa,FI,"Päätös 236/2015/1, www-versio — Helen Oy:n hakemus Kellosaaren kaasuturbiinilaitoksen ympäristölupapäätöksen lupamääräysten tarkistamiseksi, Helsinki",https://ytietopalvelu.lvv.fi/fi-FI/asia/852711,permit,"215,60,55",>200 MW,1,/home/user/lennuk/data/FI/fi_ylupa/852711_1973487_P_t_s_236_2015_1_www-versio.pdf,400902,2026-09-07 19:45:16
18,https://ytietopalvelu.lvv.fi/api/v1/documents/attachment/12411129,fi_ylupa,FI,Päätös 99/2022 — Ympäristölupahakemus Nokian voimalaitoksen kaasuturbiinin ja lämmöntalteenottokattilan K5 toiminnan muuttamiseksi sekä t,https://ytietopalvelu.lvv.fi/fi-FI/asia/2027536,permit,"77,71,180,22,71,49,20,126,49,49,49,71,40,50,180,40,132,50,132,15,57,94,49,71,49,32,22,49,49,49,49,49,50,150",<=200 MW,1,/home/user/lennuk/data/FI/fi_ylupa/2027536_12411129_P_t_s_99_2022.pdf,1606613,2026-09-07 19:45:21
19,https://ytietopalvelu.lvv.fi/api/v1/documents/attachment/13212799,fi_ylupa,FI,"Päätös 296/2022-www — Porvoon jalostamon ympäristöluvan muuttaminen kaasuturbiinin KTVL2 osalta ja toiminnan aloittamislupa, Porvoo",https://ytietopalvelu.lvv.fi/fi-FI/asia/2128378,permit,"132,41.9,91,50,10,10,10,10,42,10,10,132,42,50",<=200 MW,1,/home/user/lennuk/data/FI/fi_ylupa/2128378_13212799_P_t_s_296_2022-www.pdf,413784,2026-09-07 19:45:26
20,https://ytietopalvelu.lvv.fi/api/v1/documents/attachment/21187696,fi_ylupa,FI,Päätös nro 157/2024 — Tornion voimalaitoksen toiminnan olennainen muuttaminen kaasumoottorivoimalaitoksen osalta sekä toiminnan aloittaminen m,https://ytietopalvelu.lvv.fi/fi-FI/asia/2857643,permit,"98.4,43.1,50.4,24,98.4,43.1,98.4",<=100 MW,1,/home/user/lennuk/data/FI/fi_ylupa/2857643_21187696_P_t_s_nro_157_2024.pdf,4672133,2026-09-07 19:45:32
22,https://ytietopalvelu.lvv.fi/api/v1/documents/attachment/22178024,fi_ylupa,FI,"Päätös 126 2025 www.pdf — Mertaniemen kaasumoottorivoimalan ympäristölupa ja toiminnan aloittamislupa, Lappeenranta",https://ytietopalvelu.lvv.fi/fi-FI/asia/2996425,permit,"40,42.5,140,300,43.1,98.4,43.1,98.4,147,16,16,147,147,98.4",>200 MW,1,/home/user/lennuk/data/FI/fi_ylupa/2996425_22178024_P_t_s_126_2025_www.pdf.pdf,878084,2026-09-07 19:45:38
27,https://www.ymparisto.fi/sites/default/files/documents/vir_kaukaanvoimala_ls_ohjelmasta.doc,fi_yva,FI,lausunto arviointiohjelmasta,https://www.ymparisto.fi/fi/osallistu-ja-vaikuta/ymparistovaikutusten-arviointi/upm-kymmene-oyjn-kaukaan-voimalaitoshanke-lappeenranta,description,"430,430",>200 MW,0,data/FI/fi_yva/0001_vir_kaukaanvoimala_ls_ohjelmasta.doc,51200,2026-09-07 19:47:01
28,https://www.ymparisto.fi/sites/default/files/documents/upm11042000.doc,fi_yva,FI,lausunto arviointiselostuksesta,https://www.ymparisto.fi/fi/osallistu-ja-vaikuta/ymparistovaikutusten-arviointi/upm-kymmene-oyjn-kaukaan-voimalaitoshanke-lappeenranta,description,"430,430",>200 MW,0,data/FI/fi_yva/0002_upm11042000.doc,601645,2026-09-07 19:47:03
29,https://www.ymparisto.fi/sites/default/files/documents/kaasuvoimala_ls_ohjelmasta.doc,fi_yva,FI,lausunto arviointiohjelmasta,https://www.ymparisto.fi/fi/osallistu-ja-vaikuta/ymparistovaikutusten-arviointi/vattenfall-abn-kaasuvoimalaitoshanke-imatra,description,"900,410",>200 MW,0,data/FI/fi_yva/0003_kaasuvoimala_ls_ohjelmasta.doc,53248,2026-09-07 19:47:11
30,https://www.ymparisto.fi/sites/default/files/documents/kaasuvoimala_ls_selostuksesta.doc,fi_yva,FI,lausunto arviointiselostuksesta,https://www.ymparisto.fi/fi/osallistu-ja-vaikuta/ymparistovaikutusten-arviointi/vattenfall-abn-kaasuvoimalaitoshanke-imatra,,"900,410",>200 MW,0,data/FI/fi_yva/0004_kaasuvoimala_ls_selostuksesta.doc,83456,2026-09-07 19:47:13
